GENESIS-Tabelle: 12411-0018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bevölkerung: Kreise, Stichtag, Geschlecht, Altersgruppen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich
;;;unter 3 Jahre;3 bis unter 6 Jahre;6 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 75 Jahre;75 Jahre und mehr;unter 3 Jahre;3 bis unter 6 Jahre;6 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 75 Jahre;75 Jahre und mehr
31.12.2019;3460;Vechta, Landkreis;2413;2435;3058;3970;2615;1952;5129;4973;5005;4726;4299;4738;5947;5744;4451;5872;4768;2417;2287;2871;3692;2436;1700;4677;4591;4681;4211;4326;4624;5552;5479;4342;5929;6904
31.12.2019;3461;Wesermarsch, Landkreis;1186;1194;1526;2053;1370;1012;2611;2537;2483;2278;2343;2871;4002;3996;3298;5052;4603;1120;1075;1359;1947;1333;908;2186;2214;2268;2214;2322;2850;3875;3937;3196;5107;6257
31.12.2019;3462;Wittmund, Landkreis;700;796;1019;1343;853;690;1503;1572;1469;1436;1439;1872;2351;2369;2014;3549;2925;663;684;921;1293;863;614;1403;1333;1486;1490;1487;1914;2416;2468;2329;3709;3953
31.12.2019;4011;Bremen, kreisfreie Stadt;8986;8327;9788;12587;7552;6173;19998;21665;21349;18904;16916;17565;22144;20537;16684;25560;25646;8261;7807;9219;11637;6988;5555;17873;20079;20211;18329;16468;17179;21314;20593;17896;29489;38280
31.12.2019;4012;Bremerhaven, kreisfreie Stadt;1789;1859;2177;2799;1590;1275;3690;4016;3929;3670;3376;3543;4296;4212;3664;5604;5131;1701;1646;2071;2589;1597;1177;3449;3327;3359;3096;3045;3308;3989;4429;3997;6571;7672
31.12.2019;5111;Düsseldorf, kreisfreie Stadt;9886;9317;11291;13473;7602;5212;16246;23052;26095;23050;20248;20838;24796;22129;16919;24674;25679;9164;8942;10658;12767;7109;5099;17558;25798;27028;23440;20161;20337;23618;21936;18346;29918;39491
31.12.2019;5112;Duisburg, kreisfreie Stadt;8052;7791;9361;11836;7357;5401;16127;18115;17216;15713;14840;16066;19921;19411;16168;21858;21627;7440;7224;8849;11075;6896;4946;14276;16556;16237;14987;14653;15968;19035;18882;16353;25397;33052
31.12.2019;5113;Essen, kreisfreie Stadt;8922;8826;10255;13038;7794;5588;17198;20939;20878;18967;16648;17883;22527;21579;18412;27063;26352;8589;8146;9828;12270;7296;5293;16728;20903;20485;18528;16889;17868;22101;21937;19811;31547;41672
31.12.2019;5114;Krefeld, kreisfreie Stadt;3381;3260;4157;5407;3336;2470;6659;7550;7272;6635;6293;7132;9515;9197;7522;10520;10709;3161;3146;3849;4935;3081;2256;6009;7025;6720;6794;6629;7364;9631;9116;7967;12563;16156
31.12.2019;5116;Mönchengladbach, kreisfreie Stadt;4001;3832;4714;6089;3837;2786;7559;8977;9132;8010;7259;8090;10741;10579;8862;12602;11397;3672;3690;4458;5629;3635;2625;7402;8278;8411;7812;7554;8097;10344;10741;9271;14040;16908
31.12.2019;5117;Mülheim an der Ruhr, kreisfreie Stadt;2525;2515;3160;3746;2379;1641;4640;5285;5176;4879;4536;5155;7005;6870;5636;8337;8757;2392;2292;2975;3614;2184;1485;4037;4821;5106;5067;4874;5481;7228;6986;6170;10066;13612
31.12.2019;5119;Oberhausen, kreisfreie Stadt;3095;3068;3819;4556;2878;2060;5958;6978;6885;6572;6261;6751;8614;8616;7355;10695;9408;2932;2864;3546;4498;2764;1893;5379;6291;6548;6573;6133;6360;8492;8614;7881;11976;14451
31.12.2019;5120;Remscheid, kreisfreie Stadt;1619;1650;2061;2611;1647;1165;3094;3358;3354;3346;3272;3625;4857;4781;3771;5294;5383;1599;1606;1940;2551;1595;1058;2855;3150;3211;3136;3183;3563;4606;4513;3855;5934;8095
31.12.2019;5122;Solingen, kreisfreie Stadt;2366;2394;2977;3818;2452;1656;4504;4800;4832;4666;4441;4885;6794;6670;5361;7086;7604;2228;2237;2724;3666;2229;1617;4173;4659;4978;4982;4654;5162;6938;6735;5523;8004;11430
31.12.2019;5124;Wuppertal, kreisfreie Stadt;5494;5435;6828;8461;5222;3877;11100;12483;12341;11327;10056;10820;14236;13914;11141;15580;15818;5237;5210;6337;8107;4950;3609;10754;11757;11441;10818;9916;10972;13945;13794;11656;18299;24165
